ID;Domaine;Catégorie;Fonctionnalité;Emplacement;Description;Prérequis / Contenu CMS;Recette de test;Statut
F-011;Front;Navigation;Menu principal;Haut de toutes les pages;Logo + liens de navigation;Menus et logos configurés dans Global;1. Sur l'accueil : grand logo · sur les autres pages : logo compact 2. Cliquer chaque lien du menu → bonne page 3. Le lien de la page active est identifiable;
F-012;Front;Navigation;Menu mobile;Haut de page sur téléphone;Menu hamburger plein écran;Aucun;1. Ouvrir le site sur téléphone (ou réduire la fenêtre) 2. Cliquer l'icône ☰ 3. Tous les liens sont accessibles 4. Fermer le menu → on peut à nouveau scroller la page;
F-013;Front;Navigation;Menu qui change au scroll;Pages autres que l'accueil;Le menu devient blanc en descendant la page;Aucun;1. Sur une page interne descendre la page 2. Le menu du haut prend un fond blanc 3. Le logo reste lisible;
F-014;Front;Langues;Changement de langue;Haut de toutes les pages;Boutons FR / EN / DE;Contenu publié dans chaque langue;1. Sur Mariage cliquer EN → la page reste Mariage mais en anglais 2. Cliquer DE → version allemande 3. Cliquer FR → retour au français (adresse sans /fr);
F-015;Front;Navigation;Pied de page;Bas de toutes les pages;Fil Instagram + menus + liens légaux;Global publié;1. Le bandeau Instagram défile tout seul 2. Passer la souris dessus → le défilement s'arrête 3. Les liens du footer fonctionnent;
F-016;Front;Contenu;Bannière vidéo (Hero);Haut de plusieurs pages;Grande vidéo en fond de page;Vidéo uploadée dans l'admin;1. La vidéo se lance seule (muette) 2. Sur les pages internes un titre apparaît par-dessus 3. Sur l'accueil pas de titre par-dessus;
F-017;Front;Contenu;Bloc image + texte;Accueil Pro À propos;Section avec image texte et bouton;Bloc configuré dans l'admin;1. Image et texte côte à côte 2. Si configuré « inversé » : image à droite 3. Le bouton mène au bon endroit;
F-018;Front;Contenu;Galerie photos;Accueil À propos;Carrousel ou grille de photos avec bouton;Photos uploadées dans l'admin;1. Mode carrousel : les flèches ← → fonctionnent 2. Mode grille : toutes les photos visibles 3. Le bouton d'action fonctionne;
F-019;Front;Contenu;Citation;Accueil Mariage;Phrase ou citation mise en valeur;Texte saisi dans l'admin;1. La citation s'affiche centrée 2. Le texte est lisible et bien mis en forme;
F-020;Front;Contenu;Vignette mariage;Page Mariage;Photo cliquable qui ouvre une vidéo;Bloc wedding configuré avec miniature et lien vidéo;1. Cliquer la photo 2. La vidéo se lance dans une fenêtre 3. Fermer la fenêtre 4. On peut à nouveau scroller la page;
F-021;Front;Contenu;Carte services;Mariage À propos;Encart rose avec liste de prestations;Bloc services configuré;1. L'encart rose s'affiche 2. Le texte des prestations est complet et lisible;
F-022;Front;Contenu;Image ou vidéo + texte;Pro À propos;Média à côté d'un paragraphe;Bloc image-text configuré;1. Descendre jusqu'au bloc 2. Si c'est une vidéo elle démarre quand on la voit à l'écran 3. Vérifier la version « image à gauche » et « image à droite »;
F-023;Front;Contenu;Bloc texte simple;Plusieurs pages;Titre + paragraphe;Bloc texte configuré;1. Le titre et le texte s'affichent correctement;
F-024;Front;Contenu;Bouton / lien d'action;Plusieurs pages;Lien vers une page du site ou un site externe;Lien configuré dans l'admin;1. Lien interne → reste sur le site bonne page 2. Lien externe → s'ouvre dans un nouvel onglet;
F-025;Front;Contenu;Fil Instagram;Pied de page;Bandeau photos qui renvoie vers @justinfilm_;Aucun (intégré au site);1. Les photos défilent 2. Cliquer → arrive sur le compte Instagram;
F-026;Front;Formulaire;Validation des champs;Page Contact;Messages d'erreur si champs incorrects;Aucun;1. Cliquer Envoyer sans rien remplir → erreurs 2. Mettre un email sans @ → erreur 3. Mettre des lettres dans le téléphone → erreur;
F-027;Front;Formulaire;Envoi du formulaire;Page Contact;Envoi du message avec confirmation;Formulaire fonctionnel côté serveur;1. Remplir tous les champs correctement 2. Cliquer Envoyer 3. Message « envoyé avec succès » 4. Le formulaire se vide;
F-028;Front;Formulaire;Réception côté admin;Page Contact;Le message arrive dans l'administration;Accès admin + formulaire configuré;1. Envoyer un formulaire test 2. Se connecter à l'admin 3. Vérifier que le message est bien reçu (avec l'aide du développeur si besoin);
F-029;Front;Langues;Adresses en français;Toutes pages FR;Les pages françaises n'ont pas /fr dans l'adresse;Aucun;1. Aller sur /mariage (pas /fr/mariage) 2. Si on tape /fr/mariage on arrive quand même sur /mariage;
F-030;Front;Langues;Détection automatique;Première visite;Le site propose la langue du navigateur;Aucun;1. Avec un navigateur en anglais : arrivée sur /en/... 2. Avec un navigateur en français : pas de préfixe dans l'adresse;
F-031;Front;Langues;Textes du blog par langue;/blog;Dates et bouton « Lire plus » dans la bonne langue;Articles publiés par langue;1. Blog en français : dates en français 2. /en/blog : « Read more » et dates en anglais 3. /de/blog : « Mehr lesen » et dates en allemand;
F-032;Front;Référencement;Titre de l'onglet navigateur;Toutes les pages;Le nom affiché dans l'onglet du navigateur;Contenu publié avec titres;1. Ouvrir chaque page 2. Regarder l'onglet du navigateur en haut 3. Le titre correspond à la page (ex. « Mariage — Just in Com »);
F-033;Front;Référencement;Aperçu quand on partage un lien;Toutes les pages;Titre et image quand on colle le lien sur les réseaux;Aucun;1. Copier l'adresse d'une page 2. La coller dans WhatsApp Facebook ou LinkedIn (sans envoyer) 3. L'aperçu montre le bon titre et la bonne image;
F-034;Front;Référencement;Plan du site;/sitemap.xml;Liste de toutes les pages pour Google;Site en production;1. Demander au développeur le lien du plan du site 2. Vérifier que les pages principales y figurent (accueil mariage blog contact…);
F-035;Front;Animations;Apparition au scroll;Textes et images;Les éléments apparaissent en douceur en descendant;Aucun;1. Descendre chaque page lentement 2. Textes et images apparaissent progressivement 3. Rien ne bloque le scroll;
F-036;Front;Mise à jour contenu;Modification visible sur le site;Toutes les pages;Un changement dans l'admin finit par apparaître sur le site;Accès admin;1. Modifier un texte dans l'admin et publier 2. Attendre jusqu'à 1 heure OU demander au dev de forcer la mise à jour 3. Le nouveau texte apparaît sur le site;
F-037;Front;Mise à jour contenu;Nouvel article de blog;Blog;Un article publié après le lancement du site est accessible;Accès admin;1. Publier un nouvel article dans l'admin 2. Il apparaît sur la page Blog 3. En cliquant dessus la page article s'ouvre;
F-038;Front;Médias;Photos et vidéos;Toutes les pages;Toutes les images et vidéos se chargent;Médias uploadés dans l'admin;1. Parcourir toutes les pages 2. Aucune image cassée (icône carrée vide) 3. Les vidéos se lisent;
F-039;Front;Médias;Vidéo mariage (YouTube/Vimeo);Page Mariage;Vidéo du couple dans la fenêtre popup;Lien vidéo configuré;1. Ouvrir une vignette mariage 2. La vidéo se lit 3. Fermer proprement;
A-001;Admin;Pages;Accueil;Admin → Content Manager → Accueil;Modifier le contenu de la page d'accueil;Compte admin;1. Ouvrir Accueil 2. Modifier un titre ou un texte 3. Cliquer Publier 4. Vérifier sur le site;
A-002;Admin;Pages;À propos;Admin → About;Modifier la page à propos;Compte admin;1. Modifier un bloc 2. Publier en FR EN DE 3. Vérifier sur le site;
A-003;Admin;Pages;Mariage;Admin → Mariage;Modifier la page mariage et les couples;Compte admin;1. Ajouter ou modifier un couple (noms + photo + vidéo) 2. Publier 3. Vérifier sur /mariage;
A-004;Admin;Pages;Entreprise (Professionnels);Admin → Entreprise;Modifier la page professionnels;Compte admin;1. Modifier textes et blocs 2. Publier 3. Vérifier sur /professionnels;
A-005;Admin;Pages;Blog (page d'intro);Admin → Blog;Modifier la bannière de la page blog;Compte admin;1. Modifier la vidéo ou le titre d'intro 2. Publier 3. Vérifier sur /blog;
A-006;Admin;Pages;Contact (contenu page);Admin → Contact;Modifier le texte au-dessus du formulaire;Compte admin;1. Modifier titre et description 2. Publier 3. Vérifier sur /contact;
A-007;Admin;Réglages globaux;Global;Admin → Global;Logos menus du site;Compte admin;1. Changer le logo → visible en haut et en bas du site 2. Modifier les liens du menu principal 3. Modifier les liens légaux du footer 4. Publier;
A-008;Admin;Blog;Créer un article;Admin → Article;Ajouter un nouvel article de blog;Compte admin;1. Créer article : titre texte photo 2. Choisir une catégorie 3. Publier 4. Vérifier sur /blog;
A-009;Admin;Blog;Modifier un article;Admin → Article;Éditer un article existant;Article existant;1. Ouvrir un article 2. Modifier le texte 3. Publier 4. Vérifier sur le site;
A-010;Admin;Blog;Catégories;Admin → Category;Créer des catégories d'articles;Compte admin;1. Créer une catégorie (ex. « Actualités ») 2. L'associer à un article;
A-011;Admin;Blocs;Bannière vidéo;Dans n'importe quelle page → ajouter bloc;Vidéo de fond + titre optionnel;Vidéo uploadée;1. Ajouter un bloc Hero 2. Choisir une vidéo 3. Renseigner le titre 4. Sauvegarder et publier;
A-012;Admin;Blocs;Image + texte + bouton;Dans une page → ajouter bloc;Section image texte CTA;Image uploadée;1. Ajouter bloc Info 2. Remplir texte et image 3. Ajouter un bouton si besoin 4. Cocher « inversé » pour tester;
A-013;Admin;Blocs;Galerie photos;Dans une page → ajouter bloc;Carrousel ou grille;Photos uploadées;1. Ajouter bloc Content Section 2. Ajouter des photos 3. Choisir horizontal ou grille 4. Publier;
A-014;Admin;Blocs;Citation;Dans une page → ajouter bloc;Texte de citation;—;1. Ajouter bloc Citation 2. Saisir le texte 3. Publier;
A-015;Admin;Blocs;Couple mariage;Page Mariage → ajouter bloc;Photo + noms + vidéo + description;Photo et lien vidéo;1. Ajouter bloc Wedding 2. Noms du couple 3. Photo miniature 4. Lien YouTube ou Vimeo 5. Publier;
A-016;Admin;Blocs;Carte services;Dans une page → ajouter bloc;Encart prestations;—;1. Ajouter bloc Services 2. Titre + liste des prestations 3. Publier;
A-017;Admin;Blocs;Image/vidéo + texte;Dans une page → ajouter bloc;Média avec paragraphe;Média uploadé;1. Ajouter bloc Image-Text 2. Choisir image ou vidéo 3. Rédiger le texte 4. Publier;
A-018;Admin;Blocs;Lien / bouton;Dans un bloc ou Global;Lien cliquable;—;1. Renseigner le texte du bouton 2. L'adresse de destination 3. Cocher « externe » si hors du site;
A-019;Admin;Médias;Bibliothèque médias;Admin → Media Library;Uploader et gérer photos et vidéos;Compte admin;1. Uploader une photo 2. Uploader une vidéo 3. Réutiliser dans une page 4. Supprimer un fichier inutilisé;
A-020;Admin;Langues;Traduire une page;Admin → n'importe quelle page → sélecteur langue;Créer la version EN ou DE d'une page;Page FR publiée;1. Ouvrir une page en français 2. Changer la langue en haut (EN ou DE) 3. Traduire les textes 4. Publier 5. Vérifier /en/... ou /de/...;
A-021;Admin;Publication;Brouillon vs publié;Toutes les pages;Ce qui est brouillon n'apparaît pas sur le site;Compte admin;1. Modifier un texte sans publier → pas de changement sur le site 2. Cliquer Publier → changement visible 3. Dépublier → disparaît du site;
A-022;Admin;Accès;Connexion admin;votresite.com/admin;Se connecter à l'interface d'administration;Identifiants fournis;1. Aller sur /admin 2. Saisir email et mot de passe 3. Le tableau de bord s'affiche;
A-023;Admin;Accès;Gestion des comptes;Admin → Settings → Administration;Créer un compte pour un collaborateur;Super admin;1. Inviter un nouvel administrateur 2. Il reçoit un email 3. Il peut se connecter et éditer le contenu;
INT-001;Intégration;CMS → Site;Modification accueil;Admin Accueil → site /;Ce qu'on modifie dans l'admin apparaît sur l'accueil;Page Accueil publiée;1. Changer un texte dans l'admin 2. Publier 3. Vérifier sur le site (attendre ou demander refresh au dev);
INT-002;Intégration;CMS → Site;Logo et menus;Admin Global → header/footer;Logos et liens de navigation;Global publié;1. Changer le logo dans Global 2. Publier 3. Nouveau logo visible en haut et en bas du site;
INT-003;Intégration;CMS → Site;Nouvel article;Admin Article → /blog;Article publié visible sur le blog;Article publié;1. Créer et publier un article 2. Il apparaît sur /blog 3. Cliquer dessus → page complète;
INT-004;Intégration;Site → Admin;Formulaire contact;Site /contact → Admin;Message du visiteur reçu côté admin;Formulaire configuré;1. Envoyer un message test depuis le site 2. Vérifier réception dans l'admin (avec le dev si besoin);
